Id;Nom;Numero;Localisation;Ville;Commune;Quartier;Position
1;Pharmacie Adjamé Bracodi ;20 37 54 33 ;Adjamé Bracodi Bar ;Abidjan;Adjamé;Adjamé Centre;1.2323, 3.34542
2;Pharmacie Adjamé Latin ;20 37 22 39 ;A côté du marché de l'Habitat ;Abidjan;Adjamé;Adjamé Centre;5.35934145,4.0141525
3;Pharmacie de la Mairie ;20 37 99 99 ;A côté de la Mairie de Adjamé ;Abidjan;Adjamé;Adjamé Centre;5.3433045,4.0260984
4;Pharmacie de l'Espoir ;07 88 65 75 ;Prolongement EDIPRESSE, IMST face Cité de l'enfance ;Abidjan;Adjamé;Adjamé Centre;5.348975,4.0193333
5;Pharmacie du Château d'eau ;20 37 11 68 ;Avenue William JACOB, non loin de la SODECI ;Abidjan;Adjamé;Adjamé Centre;5.3833748,4.00514555
6;Pharmacie du Forum ;20 38 13 64 ;A l'intérieur du Forum des marchés ;Abidjan;Adjamé;Adjamé Centre;5.3448639,4.02644
7;Pharmacie du Marché d'Adjamé ;40 56 20 87 ;Près du Forum des marché, face à l'agence Ecobank ;Abidjan;Adjamé;Adjamé Centre;5.3446162,4.0267519
8;Pharmacie du Marché Gouro ;20 39 03 03 ;Près du marché Gouro, voisin Banque Atlantique ;Abidjan;Adjamé;Adjamé Centre;5.34673975,4.0219698
9;Pharmacie Gbede ;20 37 71 58 ;Bd Nangui Abrogoua, près du Grand Marché ;Abidjan;Adjamé;Adjamé Centre;5.3475073,4.025588
10;Pharmacie Kana ;20 37 96 49 ;Adjamé Extension ;Abidjan;Adjamé;Adjamé Centre;5.3575712,4.0221736
11;Pharmacie Koro ;07 81 47 18 ;Adjamé, à côté Collège Monterland ;Abidjan;Adjamé;Adjamé Centre;5.3525827,4.020465
12;Pharmacie Quartier Ebrié ;20 37 12 56 ;Feu Renault, face Gare STIF Adjamé ;Abidjan;Adjamé;Adjamé Centre;5.3552342,4.0207376
13;Pharmacie Reboul ;20 37 99 98 ;Av. Reboul, sur la montée des pompiers ;Abidjan;Adjamé;Adjamé Centre;5.3419099,4.0229595
14;Pharmacie Roeddent ;20 37 98 33 ;Face au Centre Anti Tuberculeux ;Abidjan;Adjamé;Adjamé Centre;5.37086195,4.0119961
15;Pharmacie Saint Emmanuel ;20 37 98 27 ;Face à la Tour Mirador ;Abidjan;Adjamé;Adjamé Centre;5.3571952,4.0258206
16;Pharmacie Saint Michel ;20 37 09 06 ;Près de la Paroisse Saint Miche ;Abidjan;Adjamé;Adjamé Centre;5.34753305,4.02271725
17;Pharmacie Sainte Marie d'Adjamé ;05 08 76 77 ;Rue Harris, près du Commissariat du 3è arr. ;Abidjan;Adjamé;Adjamé Centre;5.3466486,4.024677
18;Pharmacie Sarah ;20 39 03 57 ;Centre commercial Karine 'N couture, derrière Liberté ;Abidjan;Adjamé;Adjamé Centre;5.3570322,4.0156313
19;Pharmacie Seneve ;20 37 11 04 ;Près de la gare UTB ;Abidjan;Adjamé;Adjamé Centre;5.3509409,4.0209423
20;Pharmacie Le Bélier ;20 37 12 16 ;220 logements, face au Grand bloc ;Abidjan;Adjamé;Adjamé 220 logements;5.3504596,4.017123
21;Pharmacie Makissi ;20 37 70 39 ;Derrière le Cinéma Liberté ;Abidjan;Adjamé;Adjamé 220 logements;5.3537534,4.0163331
22;Pharmacie nouvelle des 220 logements ;20 37 58 26 ;Carrefour Liberté, face station TEXACO ;Abidjan;Adjamé;Adjamé 220 logements;5.3542017,4.0182022
23;Pharmacie du Progrès ;20 37 15 25 ;Williamsville, juste avant le commissariat ;Abidjan;Adjamé;Adjamé Williamsville ;5.3671875,4.0215681
24;Pharmacie Rapha ;20 37 96 88 ;Williamsville, face Boulangerie BMW ;Abidjan;Adjamé;Adjamé Williamsville ;5.3720814,4.0266039
25;Pharmacie Saint Uriel ;20 37 23 75 ;Montée Païer, derrière cimetière Williamsville ;Abidjan;Abobo Gare;Zone Dokui et Abobo Té ;5.3718857,4.0122458
26;Pharmacie Actuelle ;01 22 20 32 ;Face FSU Com Abobo Té, 200m Collège Victor Loba'D ;Abidjan;Abobo Gare;Zone Dokui et Abobo Té ;5.4265322,4.0222091
27;Pharmacie du petit marché de Dokui ;08 14 14 66 ;Face au petit marché de Dokui ;Abidjan;Abobo Gare;Zone Dokui et Abobo Té ;5.3956335,3.9999267
28;Pharmacie La Paix ;24 39 83 31 ;Abobo Cocoteraie, derrière Pharmacie du Dokui ;Abidjan;Abobo Gare;Zone Dokui et Abobo Té ;5.38091965,4.02060295
29;Pharmacie Les 4 saisons ;21 01 11 10 ;Dokui extension, voie SODECI-Lycée Adama Sanogo ;Abidjan;Abobo Gare;Zone Dokui et Abobo Té ;5.4040088,4.0008089
30;Pharmacie Manzan ;24 39 14 96 ;Carrefour SAMAKE ;Abidjan;Abobo Gare;Zone Dokui et Abobo Té ;5.4150129,4.0070261
31;Pharmacie Nouvelle principale de Abobo Te ;47 59 28 87 ;A droite, carrefour Clinique Centrale de Abobo ;Abidjan;Abobo Gare;Zone Dokui et Abobo Té ;5.4107694,4.0010051
32;Pharmacie Sainte Odile ;24 39 29 97 ;Allocodrome du Dokui ;Abidjan;Abobo Gare;Zone Dokui et Abobo Té ;5.3963538,4.0039696
33;Pharmacie de Abobo Baoulé ;24 48 27 54 ;Face Commisariat du 34è arr. sur Route de Alépé ;Abidjan;Abobo Gare;Zone Abobo Baoulé et Belle ville ;5.4257191,4.02408565
34;Pharmacie Abobo Belle Ville ;24 39 91 96 ;Route d'Alépé, terminus Woro Woro ;Abidjan;Abobo Gare;Zone Abobo Baoulé et Belle ville ;5.42392745,4.0066224
35;Pharmacie Carrefour Diallo ;40 30 24 31 ;Abobo PK 18, Carrefour Diallo ;Abidjan;Abobo Gare;Zone N'Dotrè et PK18 ;5.4409284,4.0597748
36;Pharmacie Olympique ;07 89 99 44 ;N'Dotré, à 300m du carrefour allant à Yopougon ;Abidjan;Abobo Gare;Zone N'Dotrè et PK19;5.439014,4.0682827
37;Pharmacie Saint Alexandre ;02 02 48 06 ;PK18 AKA Anghui SICOGI ;Abidjan;Abobo Gare;Zone N'Dotrè et PK20;5.45038,4.0492217
38;Pharmacie Saint Sauveur ;24 48 47 41 ;Quartier Kennedy Klouetcha, près du marché ;Abidjan;Abobo Gare;Zone Kenedy et Klouetcha ;5.3739411,4.0016242
39;Pharmacie Kann'sy ;24 39 12 51 ;Quartier Kennedy Face mosquée ;Abidjan;Abobo Gare;Zone Kenedy et Klouetcha ;5.4189184,4.0054848
40;Pharmacie Tsacoé ;24 39 15 02 ;Abobo Autoroute, face Mairie ;Abidjan;Abobo Gare;Aux abords de l'autoroute ;5.4247916,4.0207325
41;Pharmacie de la Me ;24 39 01 18 ;Sur la grande voie, après Carrefour Mairie ;Abidjan;Abobo Gare;Aux abords de l'autoroute ;5.42219515,4.02164925
42;Pharmacie de l'Etoile ;24 39 11 54 ;Carrefour de l'Etoile, face gendarmerie ;Abidjan;Abobo Gare;Aux abords de l'autoroute ;5.4269399,4.0198427
43;Pharmacie la Providence ;24 49 39 62 ;Autoroute Abobo-Adjamé, après 1er arrêt SOTRA ;Abidjan;Abobo Gare;Aux abords de l'autoroute ;5.4139807,4.0157916
44;Pharmacie Abobo Sogephia ;24 39 00 51 ;Abobo Sogephia, derrière la Cité U ;Abidjan;Abobo Gare;Zone derrière la Maire, Avocatier et Akeikoi ;5.4300355,4.0169387
45;Pharmacie Amina ;24 39 95 65 ;Abobo avocatier, près maternité HKB ;Abidjan;Abobo Gare;Zone derrière la Maire, Avocatier et Akeikoi ;5.4399212,4.0227322
46;Pharmacie Avocatier Marché ;24 49 70 19 ;Carrefour Château, à côté du marché Avocatier ;Abidjan;Abobo Gare;Zone derrière la Maire, Avocatier et Akeikoi ;5.43872615,4.0320784
47;Pharmacie Belle-Cité ;24 48 31 52 ;Abobo Belle Cité ;Abidjan;Abobo Gare;Zone derrière la Maire, Avocatier et Akeikoi ;5.4463632,4.020632
48;Pharmacie de la Cité ;24 39 03 33 ;Dans le marché, face à la Cité U ;Abidjan;Abobo Gare;Zone derrière la Maire, Avocatier et Akeikoi ;5.4345909,4.0269786
49;Pharmacie de la plaque II ;24 48 09 90 ;Abobo Sogephia, Cité des cadres, rue Plaque II ;Abidjan;Abobo Gare;Zone derrière la Maire, Avocatier et Akeikoi ;5.4370248,4.006031
50;Pharmacie des Quatre étages ;24 39 06 62 ;Abobo 4 étages, carrefour Hôpital général ;Abidjan;Abobo Gare;Zone derrière la Maire, Avocatier et Akeikoi ;5.4266098,4.0169387
51;Pharmacie Divine Espérane ;24 39 78 92 ;Abobo Sagbè, après les rails ;Abidjan;Abobo Gare;Zone derrière la Maire, Avocatier et Akeikoi ;5.424369,4.0240904
52;Pharmacie Magnificat ;24 39 51 67 ;Abobo avocatier, facte Petro Ivoire ;Abidjan;Abobo Gare;Zone derrière la Maire, Avocatier et Akeikoi ;5.4370789,4.0307
53;Pharmacie Matene ;24 39 20 32 ;Abobo avocatier, à 400m de la clinique Etoile ;Abidjan;Abobo Gare;Zone derrière la Maire, Avocatier et Akeikoi ;5.4381309,4.0205787
54;Pharmacie Nouvelle Miria ;21 01 57 38 ;Carrefour Tailly, sur Axe Carrefour Samaké - Mairie d'Abobo ;Abidjan;Abobo Gare;Zone derrière la Maire, Avocatier et Akeikoi ;5.4174603,4.0119589
55;Pharmacie Saint François Xavier ;24 39 85 02 ;Virage du 15è arrondissement de Abobo Gare ;Abidjan;Abobo Gare;Zone derrière la Maire, Avocatier et Akeikoi ;5.4327562,4.0148319
56;Pharmacie Sainte Croix ;24 39 36 73 ;Juste derrière Polyclinique Les Etoiles ;Abidjan;Abobo Gare;Zone derrière la Maire, Avocatier et Akeikoi ;5.4340723,4.0203862
57;Pharmacie Tima ;24 39 10 28 ;Grand marché, sur alignement BIAO ;Abidjan;Abobo Gare;Zone derrière la Maire, Avocatier et Akeikoi ;5.4275938,4.015267
58;Pharmacie Yarapha ;24 49 12 63 ;Carrefour AKEKOI ;Abidjan;Abobo Gare;Zone derrière la Maire, Avocatier et Akeikoi ;5.4383809,4.0134096
59;Pharmacie de la Bagoe ;21 28 64 14 ;Koumassi Remblais ligne 11, face Clinique Liring ;Abidjan;Koumassi;Koumassi Remblais ;5.3947105,4.0087348
60;Pharmacie des Sables ;21 28 84 17 ;Près de la cité SIR ;Abidjan;Koumassi;Koumassi Remblais ;5.3026157,3.9687928
61;Pharmacie du Canal ;21 36 27 48 ;Koumassi Remblais Dominique ;Abidjan;Koumassi;Koumassi Remblais ;5.3005479,3.9686485
62;Pharmacie du Marais ;21 36 06 99 ;Près de la Cité SIR, Quartier Divo ;Abidjan;Koumassi;Koumassi Remblais ;5.3012873,3.9575285
63;Pharmacie Inch - Allah ;21 36 47 01 ;Près du Groupe scolaire Entente ;Abidjan;Koumassi;Koumassi Remblais ;5.3011584,3.963106
64;Pharmacie Iroko ;21 56 43 53 ;Remblais, ligne du bus 32 ;Abidjan;Koumassi;Koumassi Remblais ;5.2944606,3.96411
65;Pharmacie Kahyra ;21 28 61 94 ;Bd du Cameroun, à côté Station Texaco ;Abidjan;Koumassi;Koumassi Remblais ;5.2963095,3.9676002
66;Pharmacie Sainte Agathe ;21 56 51 88 ;Koumassi Remblais, après LE Millenium ;Abidjan;Koumassi;Koumassi Remblais ;5.3022134,3.9663756
67;Pharmacie Beniabé ;21 28 95 25 ;Koumassi, terminus du Bus 13 ;Abidjan;Koumassi;Koumassi Centre ;5.2946495,3.9619692
68;Pharmacie Béthanie ;21 36 62 83 ;Koumassi Bia Sud SICOGI, route camp commando ;Abidjan;Koumassi;Koumassi Centre ;5.28470065,3.9591605
69;Pharmacie de Koumassi ;21 36 19 85 ;Grand carrefour de Koumassi, face au Grand Marche ;Abidjan;Koumassi;Koumassi Centre ;5.2882857,3.9688549
70;Pharmacie de la Sainte Face ;21 36 22 51 ;à drte Collège Ajavon, sur route SICOGI 3è tranche ;Abidjan;Koumassi;Koumassi Centre ;5.29825305,3.9565139
71;Pharmacie de la Sopim ;21 36 69 32 ;Koumassi Prodomo, derrière Terminus du 11 ;Abidjan;Koumassi;Koumassi Centre ;5.3022716,3.9496706
72;Pharmacie du Soleil ;21 36 05 98 ;Carrefour Bd du Gabon/Rue marché Koumassi ;Abidjan;Koumassi;Koumassi Centre ;5.2928043,3.9699993
73;Pharmacie Fanny ;21 36 09 07 ;Carrefour des bus 32 et 05 ;Abidjan;Koumassi;Koumassi Centre ;5.3102386,3.9477309
74;Pharmacie Galilée ;21 28 81 20 ;Kouassi Sicogi 1, face Direction CIE, près Camp Commando ;Abidjan;Koumassi;Koumassi Centre ;5.2829705,3.9677338
75;Pharmacie M'Pike ;21 36 25 75 ;Derrière la Mairie de Koumasi ;Abidjan;Koumassi;Koumassi Centre ;5.2902724,3.9685348
76;Pharmacie Nouvelle du Boulevard VGE ;21 24 37 00 ;Grand carrefour Koumassi, près de Chronopost ;Abidjan;Koumassi;Koumassi Centre ;5.2885337,3.9715737
77;Pharmacie Regina ;21 36 68 65 ;Quartier Sogephia ;Abidjan;Koumassi;Koumassi Centre ;5.2984392,3.9495214
